A¥O ELECCION;CORPORACION;DEPARTAMENTO;CODIGO_DEPARTAMENTO;MUNICIPIO;CODIGO_MUNICIPIO;CODIGO_ZONA;CODIGO_PUESTO;PUESTO;PARTIDO;CANDIDATO;MESA;VOTACION
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;10;8
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;12;9
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;16;8
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;23;10
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;24;11
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;25;8
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;28;12
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;29;12
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;30;9
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;33;9
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;36;9
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;37;10
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;38;10
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;39;17
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;40;10
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;5;7
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;9;7
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;18;7
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;27;7
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;35;7
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;1;6
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;7;6
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;17;6
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;31;6
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;32;6
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;8;5
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;13;5
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;20;5
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;34;5
2019;ALCALDE;CUNDINAMARCA;15;SILVANIA;241;0;0;PUESTO CABECERA MUNICIPAL;N/A;VOTOS EN BLANCO;3;4
